,Country,iso3,2019,P3: Human Rights,CPI 2019
1,Albania,ALB,1.712,4.2,35
2,Algeria,DZA,2.235,6.6,35
3,Angola,AGO,1.955,6.7,26
4,Argentina,ARG,1.978,3.9,45
5,Armenia,ARM,2.121,6.6,42
6,Australia,AUS,1.427,1.7,77
7,Austria,AUT,1.249,0.9,77
8,Azerbaijan,AZE,2.376,8.3,30
9,Bahrain,BHR,2.191,8.6,42
10,Bangladesh,BGD,2.109,7.3,26
11,Barbados,BRB,N/A,3.5,62
12,Belgium,BEL,1.526,1,75
13,Bhutan,BTN,1.473,6,68
14,Bolivia,BOL,1.975,5.7,31
15,Bosnia and Herzegovina,BIH,1.871,5,36
16,Brazil,BRA,2.37,6.9,35
17,Bulgaria,BGR,1.585,3.2,43
18,Burkina Faso,BFA,2.153,5.6,40
19,Burundi,BDI,2.476,9,19
20,Cambodia,KHM,1.928,7.6,20
21,Cameroon,CMR,2.572,7.7,25
22,Canada,CAN,1.319,1.4,77
23,Chad,TCD,2.499,8.8,20
24,Chile,CHL,1.652,3.2,67
25,China,CHN,2.047,8.8,41
26,Colombia,COL,2.686,6.7,37
27,Comoros,COM,N/A,5.9,25
28,Costa Rica,CRI,1.728,1.5,56
29,Croatia,HRV,1.549,3.2,47
30,Denmark,DNK,1.288,1.7,87
31,Dominican Republic,DOM,2.019,5.3,28
32,Ecuador,ECU,1.95,4.2,38
33,El Salvador,SLV,2.191,5.7,34
34,Eritrea,ERI,2.558,8.7,23
35,Estonia,EST,1.582,1.7,74
36,Ethiopia,ETH,2.469,8.2,37
37,Finland,FIN,1.406,0.7,86
38,France,FRA,1.861,1.6,69
39,Gabon,GAB,2.069,7.4,31
40,Georgia,GEO,1.992,5,56
41,Germany,DEU,1.534,0.8,80
42,Ghana,GHA,1.743,5,41
43,Greece,GRC,1.903,3.3,48
44,Guatemala,GTM,2.206,7.3,26
45,Guinea,GIN,2.026,7.1,29
46,Guyana,GUY,2.088,3.4,40
47,Haiti,HTI,2.044,7.2,18
48,Honduras,HND,2.264,6.9,26
49,Hungary,HUN,1.494,5.3,44
50,Iceland,ISL,1.094,1,78
51,India,IND,2.611,5.6,41
52,Indonesia,IDN,1.737,7,40
53,Ireland,IRL,1.326,1.8,74
54,Italy,ITA,1.677,1.4,53
55,Jamaica,JAM,1.944,5.6,43
56,Japan,JPN,1.38,3.2,73
57,Jordan,JOR,1.962,7.4,48
58,Kuwait,KWT,1.748,7.3,40
59,Latvia,LVA,1.599,3,56
60,Liberia,LBR,1.841,6.5,28
61,Libya,LBY,3.106,9.1,18
62,Lithuania,LTU,1.65,2.7,60
63,Luxembourg,LUX,N/A,1,80
64,Madagascar,MDG,1.867,5.6,24
65,Malawi,MWI,1.787,5.9,31
66,Malaysia,MYS,1.589,7.4,53
67,Malta,MLT,2.685,3.1,54
68,Mauritania,MRT,2.214,7.5,28
69,Mauritius,MUS,1.554,3.8,52
70,Mexico,MEX,2.533,5.9,29
71,Mongolia,MNG,1.76,4.2,35
72,Montenegro,MNE,1.811,3.7,45
73,Morocco,MAR,2.037,6.2,41
74,Mozambique,MOZ,2.14,5.6,26
75,Namibia,NAM,1.919,3.2,52
76,Nepal,NPL,1.959,7.1,34
77,Netherlands,NLD,1.471,1,82
78,Nicaragua,NIC,2.293,7.3,22
79,Nigeria,NGA,2.769,8.3,26
80,Norway,NOR,1.5,0.9,84
81,Oman,OMN,1.919,7.5,52
82,Pakistan,PAK,2.891,7.4,32
83,Panama,PAN,1.816,3.8,36
84,Paraguay,PRY,02.06,5.7,28
85,Peru,PER,1.973,3.7,36
86,Philippines,PHL,2.469,7.4,34
87,Poland,POL,1.58,4.2,58
88,Portugal,PRT,1.247,1.2,62
89,Qatar,QAT,1.617,6.4,62
90,Saudi Arabia,SAU,2.405,9.3,53
91,Senegal,SEN,1.872,5.4,45
92,Serbia,SRB,1.724,4.1,39
93,Sierra Leone,SLE,1.814,5.2,33
94,Singapore,SGP,1.348,4.6,85
95,Slovenia,SVN,1.293,1,60
96,Solomon Islands,SLB,N/A,4.6,42
97,South Africa,ZAF,2.41,4.2,44
98,Spain,ESP,1.691,1.2,62
99,Sudan,SDN,2.866,9.4,16
100,Sweden,SWE,1.515,0.9,85
101,Switzerland,CHE,1.37,1.4,85
102,Tajikistan,TJK,2.168,8.6,25
103,Thailand,THA,2.182,8.1,36
104,Togo,TGO,2.099,7.2,29
105,Trinidad and Tobago,TTO,2.059,3.6,40
106,Turkey,TUR,2.886,8.1,39
107,Uganda,UGA,2.193,8,28
108,Ukraine,UKR,2.768,6.6,30
109,United Arab Emirates,ARE,1.797,7.6,71
110,United Kingdom,GBR,1.681,1.5,77
111,Uruguay,URY,1.695,2.9,71
112,Uzbekistan,UZB,2.056,7.9,25
113,Venezuela,VEN,2.673,9,16
114,Zambia,ZMB,1.768,7.4,34