country,Year,Rank,P2: Public Services
Afghanistan,2019,9th,9.8
Albania,2019,121st,3.8
Algeria,2019,72nd,5.4
Angola,2019,35th,8.7
Antigua and Barbuda,2019,127th,3.7
Argentina,2019,140th,3.3
Armenia,2019,105th,3.3
Australia,2019,174th,1.5
Austria,2019,165th,1.1
Azerbaijan,2019,76th,4.8
Bahamas,2019,135th,4.0
Bahrain,2019,113th,1.8
Bangladesh,2019,36th,7.5
Barbados,2019,136th,2.4
Belarus,2019,99th,3.6
Belgium,2019,161st,1.7
Belize,2019,114th,5.3
Benin,2019,75th,8.3
Bhutan,2019,81st,5.5
Bolivia,2019,80th,6.2
Bosnia and Herzegovina,2019,86th,3.1
Botswana,2019,120th,6.5
Brazil,2019,83rd,6.6
Brunei Darussalam,2019,124th,1.5
Bulgaria,2019,132nd,3.8
Burkina Faso,2019,47th,8.1
Burundi,2019,15th,8.2
Cambodia,2019,54th,7.6
Cameroon,2019,16th,8.2
Canada,2019,172nd,1.0
Cape Verde,2019,106th,5.4
Central African Republic,2019,6th,10.0
Chad,2019,7th,9.1
Chile,2019,150th,3.4
China,2019,88th,5.1
Colombia,2019,70th,5.3
Comoros,2019,56th,7.6
Congo Democratic Republic,2019,5th,9.2
Congo Republic,2019,27th,8.9
Costa Rica,2019,145th,3.4
Cote d'Ivoire,2019,29th,8.2
Croatia,2019,138th,2.6
Cuba,2019,118th,3.9
Cyprus,2019,122nd,2.1
Czechia,2019,154th,2.0
Denmark,2019,175th,0.9
Djibouti,2019,43rd,7.6
Dominican Republic,2019,108th,6.3
Ecuador,2019,87th,5.9
Egypt,2019,34th,4.3
El Salvador,2019,96th,5.8
Equatorial Guinea,2019,53rd,8.1
Eritrea,2019,17th,7.8
Estonia,2019,146th,2.3
Eswatini,2019,42nd,7.5
Ethiopia,2019,23rd,8.3
Fiji,2019,84th,4.4
Finland,2019,178th,0.7
France,2019,160th,1.2
Gabon,2019,92nd,6.3
Gambia,2019,47th,7.3
Georgia,2019,81st,3.7
Germany,2019,167th,0.9
Ghana,2019,110th,7.2
Greece,2019,129th,3.8
Grenada,2019,123rd,3.6
Guatemala,2019,57th,6.9
Guinea,2019,11th,9.2
Guinea Bissau,2019,19th,8.9
Guyana,2019,99th,5.6
Haiti,2019,12th,9.2
Honduras,2019,64th,6.4
Hungary,2019,134th,2.6
Iceland,2019,173rd,1.0
India,2019,74th,6.8
Indonesia,2019,93rd,5.3
Iran,2019,52nd,3.9
Iraq,2019,13th,8.7
Ireland,2019,168th,1.4
Israel and West Bank,2019,67th,4.2
Italy,2019,143rd,3.0
Jamaica,2019,117th,6.2
Japan,2019,157th,1.6
Jordan,2019,69th,3.6
Kazakhstan,2019,116th,3.4
Kenya,2019,25th,8.0
Kuwait,2019,130th,2.0
Kyrgyz Republic,2019,68th,4.5
Laos,2019,62nd,6.4
Latvia,2019,142nd,2.4
Lebanon,2019,44th,5.1
Lesotho,2019,61st,7.5
Liberia,2019,30th,8.7
Libya,2019,28th,6.4
Lithuania,2019,152nd,2.9
Luxembourg,2019,169th,1.7
Macedonia,2019,111th,3.9
Madagascar,2019,58th,8.6
Malawi,2019,49th,8.0
Malaysia,2019,119th,3.6
Maldives,2019,96th,5.2
Mali,2019,21st,8.5
Malta,2019,156th,1.5
Mauritania,2019,31st,8.6
Mauritius,2019,150th,2.9
Mexico,2019,98th,6.2
Micronesia,2019,78th,5.4
Moldova,2019,103rd,4.5
Mongolia,2019,128th,4.8
Montenegro,2019,125th,3.3
Morocco,2019,78th,4.8
Mozambique,2019,33rd,9.1
Myanmar,2019,22nd,8.3
Namibia,2019,107th,6.8
Nepal,2019,45th,6.6
Netherlands,2019,166th,0.8
New Zealand,2019,171st,1.0
Nicaragua,2019,63rd,6.2
Niger,2019,18th,9.3
Nigeria,2019,14th,8.9
North Korea,2019,26th,8.6
Norway,2019,177th,0.8
Oman,2019,133rd,2.9
Pakistan,2019,23rd,8.0
Panama,2019,139th,4.4
Papua New Guinea,2019,50th,9.1
Paraguay,2019,104th,5.6
Peru,2019,99th,6.1
Philippines,2019,50th,6.1
Poland,2019,144th,2.1
Portugal,2019,164th,2.2
Qatar,2019,141st,1.3
Romania,2019,137th,3.4
Russia,2019,73rd,3.6
Rwanda,2019,37th,6.8
Samoa,2019,112th,4.3
Sao Tome and Principe,2019,88th,5.3
Saudi Arabia,2019,93rd,3.2
Senegal,2019,66th,7.4
Serbia,2019,102nd,3.6
Seychelles,2019,126th,2.1
Sierra Leone,2019,39th,8.8
Singapore,2019,162nd,1.0
Slovak Republic,2019,148th,2.0
Slovenia,2019,163rd,1.3
Solomon Islands,2019,55th,7.8
Somalia,2019,2nd,9.4
South Africa,2019,88th,6.7
South Korea,2019,159th,1.3
South Sudan,2019,3rd,9.8
Spain,2019,147th,1.9
Sri Lanka,2019,46th,4.5
Sudan,2019,8th,8.6
Suriname,2019,115th,5.0
Sweden,2019,170th,0.9
Switzerland,2019,176th,1.0
Syria,2019,4th,9.4
Tajikistan,2019,65th,5.2
Tanzania,2019,60th,8.8
Thailand,2019,77th,3.8
Timor-Leste,2019,41st,7.9
Togo,2019,38th,8.5
Trinidad and Tobago,2019,131st,3.7
Tunisia,2019,95th,4.0
Turkey,2019,59th,4.6
Turkmenistan,2019,85th,5.0
Uganda,2019,20th,7.8
Ukraine,2019,91st,3.8
United Arab Emirates,2019,149th,1.6
United Kingdom,2019,155th,1.5
United States,2019,153rd,1.2
Uruguay,2019,158th,2.7
Uzbekistan,2019,70th,4.4
Venezuela,2019,32nd,8.3
Vietnam,2019,109th,4.1
Yemen,2019,1st,9.8
Zambia,2019,40th,7.3
Zimbabwe,2019,10th,8.6